                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.37796,                0.47028,                 0.7717,                0.86879,                0.95483,                 0.9952,                  0.995,                0.96228,                0.95483,                 0.9952,                  0.995,                0.94772,                0.24769,                0.39033,                 0.6311,                0.82491,             0.00031373,             0.00031373,             0.00031373
                     85,                0.30638,                0.36581,                 1.2068,                0.65705,                0.95073,                0.99536,                  0.995,                0.96228,                0.95073,                0.99536,                  0.995,                0.94772,                0.25499,                0.39645,                0.63471,                0.82428,             0.00029723,             0.00029723,             0.00029723
                     86,                0.42022,                0.46347,                 0.7316,                0.86607,                0.95267,                0.99074,                  0.995,                0.96345,                0.95267,                0.99074,                  0.995,                0.94772,                0.25462,                0.39821,                0.65775,                0.82391,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.3472,                0.41136,                0.73565,                0.84746,                 0.9606,                0.98183,                  0.995,                0.96345,                 0.9606,                0.98183,                  0.995,                0.94772,                0.24732,                 0.3991,                0.67747,                0.82271,             0.00026422,             0.00026422,             0.00026422
                     88,                0.32578,                0.43525,                0.71611,                0.83409,                0.97147,                0.97179,                  0.995,                0.96345,                0.97147,                0.97179,                  0.995,                0.95682,                0.23849,                  0.399,                0.68519,                0.82184,             0.00024772,             0.00024772,             0.00024772
                     89,                0.40635,                0.49984,                0.76195,                0.83647,                0.97421,                0.97071,                  0.995,                0.97802,                0.97421,                0.97071,                  0.995,                0.95482,                0.23212,                0.39813,                0.64892,                0.81917,             0.00023121,             0.00023121,             0.00023121
                     90,                0.37933,                0.60212,                0.88849,                0.82507,                0.98779,                0.96021,                  0.995,                  0.995,                0.98779,                0.96021,                  0.995,                0.95482,                0.23403,                0.39805,                0.63625,                 0.8165,             0.00021471,             0.00021471,             0.00021471
                     91,                0.29381,                0.41755,                 0.7526,                0.79113,                0.99502,                0.95673,                  0.995,                  0.995,                0.99502,                0.95673,                  0.995,                0.95482,                0.22752,                0.39767,                0.65551,                0.81479,             0.00019821,             0.00019821,             0.00019821
                     92,                0.26321,                0.36776,                 0.7373,                0.84115,                0.99474,                0.95948,                  0.995,                0.98801,                0.99474,                0.95948,                  0.995,                0.95485,                0.21665,                0.39815,                0.69182,                0.81425,              0.0001817,              0.0001817,              0.0001817
                     93,                0.19152,                0.30541,                 2.0931,                0.61357,                0.99411,                0.96238,                  0.995,                0.97902,                0.99411,                0.96238,                  0.995,                0.95482,                0.21489,                0.40081,                0.73769,                0.81512,              0.0001652,              0.0001652,              0.0001652
                     94,                0.22314,                0.36841,                0.68851,                0.77307,                0.96027,                0.92857,                  0.974,                0.95523,                0.96027,                0.92857,                  0.974,                0.92402,                0.21705,                0.40411,                0.79894,                0.81602,              0.0001487,              0.0001487,              0.0001487
                     95,                0.26577,                0.37096,                0.74224,                0.78421,                 0.9583,                0.92857,                0.96955,                0.95167,                 0.9583,                0.92857,                0.96955,                0.91973,                0.22319,                0.40741,                0.82957,                0.81797,             0.00013219,             0.00013219,             0.00013219
                     96,                0.22286,                0.35941,                0.71494,                0.81189,                0.95825,                0.92857,                0.96583,                 0.9417,                0.95825,                0.92857,                0.96583,                 0.9162,                0.23137,                0.40563,                0.80916,                0.82159,             0.00011569,             0.00011569,             0.00011569
                     97,                0.24512,                0.37302,                0.78033,                0.73304,                0.96555,                0.92857,                0.96583,                 0.9507,                0.96555,                0.92857,                0.96583,                0.91817,                0.23646,                0.40626,                0.77996,                0.82369,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.23338,                0.36245,                0.76441,                0.85312,                0.97074,                0.92857,                0.96583,                0.95477,                0.97074,                0.92857,                0.96583,                 0.9182,                0.23813,                0.40341,                0.73857,                0.82384,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.24277,                0.36369,                0.74504,                0.78702,                0.97403,                0.92857,                0.96583,                0.95477,                0.97403,                0.92857,                0.96583,                0.91817,                 0.2348,                0.40031,                0.70099,                0.82248,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.24802,                0.36724,                 0.7587,                0.74386,                0.97506,                0.92857,                0.96583,                0.95477,                0.97506,                0.92857,                0.96583,                0.91818,                0.23313,                0.39704,                0.67741,                0.82133,             4.9677e-05,             4.9677e-05,             4.9677e-05
